Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
China,2022,"Fish; live, ornamental, freshwater",Import,16637891,225833,Weight in kilograms,225833
China,2022,"Fish; live, ornamental, freshwater",Export,3614031,229319,Weight in kilograms,229319
China,2022,"Fish; live, ornamental, other than freshwater",Import,6837794,80151,Weight in kilograms,80151
China,2022,"Fish; live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",Export,1025510,102674,Weight in kilograms,102674
China,2022,"Fish; live, eels (Anguilla spp.)",Import,165127757,299821,Weight in kilograms,299821
China,2022,"Fish; live, eels (Anguilla spp.)",Export,257129815,14057516,Weight in kilograms,14057516
China,2022,"Fish; live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",Export,96946933,25333856,Weight in kilograms,25333856
China,2022,"Fish; live, n.e.c. in heading 0301",Export,454472649,61259900,Weight in kilograms,61259900
China,2022,"Fish; live, n.e.c. in heading 0301",Import,141592932,28357103,Weight in kilograms,28357103
China,2022,"Fish; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9",Import,1792691,113510,Weight in kilograms,113510
China,2022,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9",Import,8621738,473483,Weight in kilograms,473483
China,2022,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,736711113,49018433,Weight in kilograms,49018433
China,2022,"Fish; fresh or chilled, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,34482,2297,Weight in kilograms,2297
