"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"China","2022","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","54595423","12987091","Number of items","805"
"China","2021","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","126094298","22951795","Number of items","352"
"China","2020","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","152889514","28580738.561","Number of items","289"
"China","2019","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Import","220660","935000","Number of items","2"
"China","2019","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","141841104","29174274.502","Number of items","564"
"China","2018","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Import","1658","230.586","Number of items","1"
"China","2018","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","167812555","19464189.643","Number of items","608"
"China","2017","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Import","1905700","","No Quantity",""
"China","2017","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","90181628","","No Quantity",""
"China","2016","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Import","719095","","No Quantity",""
"China","2016","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","45360257","","No Quantity",""
"China","2015","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Import","2715738","","No Quantity",""
"China","2015","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","159218950","17567952.64","No Quantity",""
"China","2014","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","101713314","","Number of items","1448"
"China","2014","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Import","62737292","","Number of items","19"
"China","2013","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","59518247","","Number of items","1232"
"China","2013","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Import","5153070","","Number of items","4"
"China","2012","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","30039139","","Number of items","721"
"China","2012","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Import","14592450","","Number of items","16"
"China","2011","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","56861680","8026272","Number of items","506"
"China","2010","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","110222025","14583046","Number of items","659"
"China","2010","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Import","36686465","","Number of items","5"
"China","2009","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","45352863","5523450","Number of items","1491"
"China","2009","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Import","9216748","","Number of items","17"
"China","2008","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","20296492","3045837","Number of items","780"
"China","2008","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Import","20346992","","Number of items","9"
"China","2007","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","22048588","","Number of items","198"
"China","2007","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Import","13914520","","Number of items","5"
"China","2006","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","13048017","4541508","Number of items","65"
"China","2006","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Import","24128000","10541198","Number of items","3"
"China","2005","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","33939755","11813109","Number of items","109"
"China","2005","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Import","35417830","15473572","Number of items","8"
"China","2004","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products","Export","11590187","4034094","Number of items","61"
